videoid,title,viewcount,likecount,commentcount
dKB8Z_KJG3I,煩悩ネタ！『嘘つき通す奴』,1384170,14853,604
f_r4F6QTZx4,煩悩ネタ！『第一声、間違えて、友達失う奴』,965382,12490,746
hFnhrRqDrA0,煩悩ネタ！『オキンタマデカ男って奴』,962578,16820,721
TJDTMyVX4fw,煩悩ネタ！『あだ名コロコロ変わる奴』,504275,6461,369
wg-hRa2CFEs,煩悩ネタ！『大学の入学を辞めただけの奴』,455198,6056,761
V6IZWsEi1sQ,煩悩ネタ！『ツッコミ下手な関東人な奴』,419231,5323,315
Au-mjjkqe7g,煩悩ネタ！『声の周波数のせいで離れたら英語に聞こえる奴』,369650,7567,248
zT3U97DknSE,煩悩ネタ！『雑談から漫才したい奴』,352164,5302,222
yJFiMls8al0,煩悩ネタ！『高校生なのに歌い方が４０代の奴』,341704,6345,390
VPeE_hhDCR8,煩悩ネタ！『ハズレの先生が担任になった奴』,301626,4664,376
WnC5A8T9maM,煩悩ネタ！『脚本家って言えへん奴』,295504,4645,211
QtmM8l8E3HM,煩悩ネタ！『体操走りな奴』,258412,3794,143
1TzGN4VSGR0,煩悩ネタ！『一服する奴』,245629,2657,375
upGOovXILls,煩悩ネタ！『落語であってくれと願う奴』,221830,4405,221
BLMgs1lxLRs,煩悩ネタ！『ボクシングジム殴り込むヤバイ奴』,215869,2556,121
TrA98HARfZ4,煩悩ネタ！『めっちゃ練習する奴』,214515,3633,245
lJcv9eG1ZX8,煩悩ネタ！『客にドリンクこぼした瞬間、店辞める奴』,210090,3521,115
AMVwZXZwcRA,煩悩ネタ！『変な奴』,202592,2539,213
GCSEnAZK4F4,煩悩ネタ！『一応、人命救助した奴』,192877,2536,123
6DbUV7M3mEA,煩悩ネタ！『男なのに、女子バレー部の試合呼ばれた奴』,162706,1985,164
oD6jlChFRvs,煩悩ネタ！『本名、ふざけてると思われる奴』,160667,1943,90
fQd1toKU60c,煩悩ネタ！『ハゲてもうてるけど、それをいじっていいかどうかわからん奴』,159740,1677,101
SKg6vsPPgaA,煩悩ネタ！『無理矢理変なことさせる奴』,154779,1838,60
_CGIhM4Rd_k,煩悩ネタ！『上司の実家のインターホン押しただけの奴』,146215,3226,130
xAtHt4OCwP0,煩悩ネタ！『エチュードに引く奴』,143526,2555,152
yVJopeiOzn4,煩悩ネタ！『バックヤードでリセットされる奴』,143365,2091,75
o9bBvB6JOqI,煩悩ネタ！『コントライブなのに漫才披露する奴』,142458,2222,112
-FCCCaYJQgU,煩悩ネタ！『ちょけた出しもんして後悔する奴』,142387,1878,94
qQjmIqc2gak,煩悩ネタ！『うっすら寒いから会社休む奴』,141105,1788,75
Y1Qjg4KWrqw,煩悩ネタ！『密室ロング落語する奴』,139695,1421,87
WeIJDsiH8FY,煩悩ネタ『すごい展開に「えー！」と言う奴』,136091,2018,99
KnCUKPzU4zU,煩悩ネタ！『角刈りのくせにクラスのメインになろうとする奴』,135491,1799,153
IlGJB_Bo3qs,煩悩ネタ！『カバはカバと思ってる奴』,130688,1894,106
ZVGU4yPamZI,煩悩ネタ！『フィリピンの数学者のチャタライって奴』,129564,1839,97
HM_581eX3kc,煩悩ネタ！『綱引きで負けて、そのままタクシーで帰る奴』,128682,1805,65
ks7hK8_Bixk,煩悩ネタ！『タメ口な奴』,127966,1690,73
6WJNcd40kxA,煩悩ネタ！『ちびっこ相撲をやってたせいで怒鳴られる奴』,125780,2006,97
zi-xvjHv3Ag,煩悩ネタ！『会議の日間違えて怒鳴られる奴』,123937,1989,63
Qr3dg-i0wE4,煩悩ネタ！『うんこのシミ、わざわざ報告する奴』,122695,1814,51
V0IS7em-qsg,煩悩ネタ！『バンドやりたい!だけの奴』,118571,2349,129
O8KfGDLv9q8,煩悩ネタ！『こっそりお坊ちゃんをビンタする執事な奴』,117518,1679,77
hzpp0Ryn6rw,煩悩ネタ！『チャラ男番長っていう奴』,116340,1187,209
ZaMsevwcZJk,煩悩ネタ！『ど忘れした奴』,113896,1297,39
xZDBDH8eseY,煩悩ネタ！『107本を通して感じたことをコントにする奴』,112901,2221,862
Z70JQJT7rrE,煩悩ネタ！『悪気なく笑いとる奴』,110541,1413,124
-0uGmEr68Kc,煩悩ネタ！『軽い知り合いにチューしてるとこ見られる奴』,110456,1135,54
gO0ex_ZxbN0,煩悩ネタ！『肛門開いた奴』,109013,1564,101
A2P0r8utzBE,煩悩ネタ！『万引き顔の一族な奴』,108467,1343,70
Hx9hH0rnNKU,煩悩ネタ！『小野寺へ謝罪する奴』,106630,1465,91
4Uvo0JKMVUY,煩悩ネタ！『若ハゲサンキューな奴』,106539,1157,72
4Smk4Y3ZcNQ,煩悩ネタ！『超能力あった奴』,106265,2200,106
iM50LQwbn9k,煩悩ネタ！『悪趣味な奴』,106211,1526,99
8LSsSbvcSd8,煩悩ネタ！『警備員の声、聞こえへん奴』,106105,1225,52
